aacgr 03AC
Aacgr 0386
aacute 00E1
Aacute 00C1
abreve 0103
Abreve 0102
ac 223E
acd 223F
acE 223E  0333
acirc 00E2
Acirc 00C2
acute 00B4
acy 0430
Acy 0410
aelig 00E6
AElig 00C6
af 2061
afr 1D51E
Afr 1D504
agr 03B1
Agr 0391
agrave 00E0
Agrave 00C0
alefsym 2135
aleph 2135
alpha 03B1
Alpha 0391
amacr 0101
Amacr 0100
amalg 2A3F
amp 0026
AMP 0026
and 2227
And 2A53
andand 2A55
andd 2A5C
andslope 2A58
andv 2A5A
ang 2220
ange 29A4
angle 2220
angmsd 2221
angmsdaa 29A8
angmsdab 29A9
angmsdac 29AA
angmsdad 29AB
angmsdae 29AC
angmsdaf 29AD
angmsdag 29AE
angmsdah 29AF
angrt 221F
angrtvb 22BE
angrtvbd 299D
angsph 2222
angst 00C5
angzarr 237C
aogon 0105
Aogon 0104
aopf 1D552
Aopf 1D538
ap 2248
apacir 2A6F
ape 224A
apE 2A70
apid 224B
apos 0027
ApplyFunction 2061
approx 2248
approxeq 224A
aring 00E5
Aring 00C5
ascr 1D4B6
Ascr 1D49C
Assign 2254
ast 002A
asymp 2248
asympeq 224D
atilde 00E3
Atilde 00C3
auml 00E4
Auml 00C4
awconint 2233
awint 2A11
b.alpha 1D6C2
b.beta 1D6C3
b.chi 1D6D8
b.delta 1D6C5
b.Delta 1D6AB
b.epsi 1D6C6
b.epsiv 1D6DC
b.eta 1D6C8
b.gamma 1D6C4
b.Gamma 1D6AA
b.gammad 1D7CB
b.Gammad 1D7CA
b.iota 1D6CA
b.kappa 1D6CB
b.kappav 1D6DE
b.lambda 1D6CC
b.Lambda 1D6B2
b.mu 1D6CD
b.nu 1D6CE
b.omega 1D6DA
b.Omega 1D6C0
b.phi 1D6D7
b.Phi 1D6BD
b.phiv 1D6DF
b.pi 1D6D1
b.Pi 1D6B7
b.piv 1D6E1
b.psi 1D6D9
b.Psi 1D6BF
b.rho 1D6D2
b.rhov 1D6E0
b.sigma 1D6D4
b.Sigma 1D6BA
b.sigmav 1D6D3
b.tau 1D6D5
b.Theta 1D6AF
b.thetas 1D6C9
b.thetav 1D6DD
b.upsi 1D6D6
b.UpsiUpsilon
b.xi 1D6CF
b.Xi 1D6B5
b.zeta 1D6C7
backcong 224C
backepsilon 03F6
backprime 2035
backsim 223D
backsimeq 22CD
Backslash 2216
Barv 2AE7
barvee 22BD
barwed 2305
Barwed 2306
barwedge 2305
bbrk 23B5
bbrktbrk 23B6
bcong 224C
bcy 0431
Bcy 0411
bdquo 201E
becaus 2235
because 2235
Because 2235
bemptyv 29B0
bepsi 03F6
bernou 212C
Bernoullis 212C
beta 03B2
Beta 0392
beth 2136
between 226C
bfr 1D51F
Bfr 1D505
bgr 03B2
Bgr 0392
bigcap 22C2
bigcirc 25EF
bigcup 22C3
bigodot 2A00
bigoplus 2A01
bigotimes 2A02
bigsqcup 2A06
bigstarUB starf
bigtriangledown 25BD
bigtriangleup 25B3
biguplus 2A04
bigvee 22C1
bigwedge 22C0
bkarow 290D
blacklozengeUB lozf
blacksquare 25AA
blacktriangleUB utrif
blacktriangledownUB dtrif
blacktriangleleftUB ltrif
blacktrianglerightUB rtrif
blank 2423
blk12 2592
blk14 2591
blk34 2593
block 2588
bne 003D  20E5
bnequiv 2261  20E5
bnot 2310
bNot 2AED
bopf 1D553
Bopf 1D539
bot 22A5
bottom 22A5
bowtie 22C8
boxbox 29C9
boxdl 2510
boxdL 2555
boxDl 2556
boxDL 2557
boxdr 250C
boxdR 2552
boxDr 2553
boxDR 2554
boxh 2500
boxH 2550
boxhd 252C
boxhD 2565
boxHd 2564
boxHD 2566
boxhu 2534
boxhU 2568
boxHu 2567
boxHU 2569
boxminus 229F
boxplus 229E
boxtimes 22A0
boxul 2518
boxuL 255B
boxUl 255C
boxUL 255D
boxur 2514
boxuR 2558
boxUr 2559
boxUR 255A
boxv 2502
boxV 2551
boxvh 253C
boxvH 256A
boxVh 256B
boxVH 256C
boxvl 2524
boxvL 2561
boxVl 2562
boxVL 2563
boxvr 251C
boxvR 255E
boxVr 255F
boxVR 2560
bprime 2035
breve 02D8
Breve 02D8
brvbar 00A6
bscr 1D4B7
Bscr 212C
bsemi 204F
bsim 223D
bsime 22CD
bsol 005C
bsolb 29C5
bsolhsub 27C8
bull 2022
bulletUB bull
bump 224E
bumpe 224F
bumpE 2AAE
bumpeq 224F
Bumpeq 224E
cacute 0107
Cacute 0106
cap 2229
Cap 22D2
capand 2A44
capbrcup 2A49
capcap 2A4B
capcup 2A47
capdot 2A40
CapitalDifferentialD 2145
caps 2229  FE00
caret 2041
caron 02C7
Cayleys 212D
ccaps 2A4D
ccaron 010D
Ccaron 010C
ccedil 00E7
Ccedil 00C7
ccirc 0109
Ccirc 0108
Cconint 2230
ccups 2A4C
ccupssm 2A50
cdot 010B
Cdot 010A
cedil 00B8
Cedilla 00B8
cemptyv 29B2
cent 00A2
centerdotUM middot
CenterDotUM middot
cfr 1D520
Cfr 212D
chcy 0447
CHcy 0427
check 2713
checkmarkUB check
chi 03C7
Chi 03A7
cir 25CB
circ 02C6
circeq 2257
circlearrowleft 21BA
circlearrowright 21BB
circledast 229B
circledcirc 229A
circleddash 229D
CircleDot 2299
circledRUM reg
circledS 24C8
CircleMinus 2296
CirclePlus 2295
CircleTimes 2297
cire 2257
cirE 29C3
cirfnint 2A10
cirmid 2AEF
cirscir 29C2
ClockwiseContourIntegral 2232
CloseCurlyDoubleQuoteUM rdquo
CloseCurlyQuoteUM rsquo
clubs 2663
clubsuitUB clubs
colon 003A
Colon 2237
colone 2254
Colone 2A74
coloneq 2254
comma 002C
commat 0040
comp 2201
compfn 2218
complement 2201
complexes 2102
cong 2245
congdot 2A6D
Congruent 2261
conint 222E
Conint 222F
ContourIntegral 222E
copf 1D554
Copf 2102
coprod 2210
Coproduct 2210
copy 00A9
COPY 00A9
copysr 2117
CounterClockwiseContourIntegral 2233
crarr 21B5
cross 2717
Cross 2A2F
cscr 1D4B8
Cscr 1D49E
csub 2ACF
csube 2AD1
csup 2AD0
csupe 2AD2
ctdot 22EF
cudarrl 2938
cudarrr 2935
cuepr 22DE
cuesc 22DF
cularr 21B6
cularrp 293D
cup 222A
Cup 22D3
cupbrcap 2A48
cupcap 2A46
CupCap 224D
cupcup 2A4A
cupdot 228D
cupor 2A45
cups 222A  FE00
curarr 21B7
curarrm 293C
curlyeqprec 22DE
curlyeqsucc 22DF
curlyvee 22CE
curlywedge 22CF
curren 00A4
curvearrowleft 21B6
curvearrowright 21B7
cuvee 22CE
cuwed 22CF
cwconint 2232
cwint 2231
cylcty 232D
dagger 2020
Dagger 2021
daleth 2138
darr 2193
dArr 21D3
Darr 21A1
dash 2010
dashv 22A3
Dashv 2AE4
dbkarow 290F
dblac 02DD
dcaron 010F
Dcaron 010E
dcy 0434
Dcy 0414
dd 2146
DD 2145
ddaggerUB Dagger
ddarr 21CA
DDotrahd 2911
ddotseq 2A77
deg 00B0
Del 2207
delta 03B4
Delta 0394
demptyv 29B1
dfisht 297F
dfr 1D521
Dfr 1D507
dgr 03B4
Dgr 0394
dHar 2965
dharl 21C3
dharr 21C2
DiacriticalAcute 00B4
DiacriticalDot 02D9
DiacriticalDoubleAcute 02DD
DiacriticalGrave 0060
DiacriticalTilde 02DC
diam 22C4
diamond 22C4
Diamond 22C4
diamondsuitUB diams
diams 2666
die 00A8
DifferentialD 2146
digamma 03DD
disin 22F2
divUM divide
divide 00F7
divideontimes 22C7
divonx 22C7
djcy 0452
DJcy 0402
dlcorn 231E
dlcrop 230D
dollar 0024
dopf 1D555
Dopf 1D53B
dot 02D9
Dot 00A8
DotDot 20DC
doteq 2250
doteqdot 2251
DotEqual 2250
dotminus 2238
dotplus 2214
dotsquare 22A1
doublebarwedge 2306
DoubleContourIntegral 222F
DoubleDot 00A8
DoubleDownArrow 21D3
DoubleLeftArrow 21D0
DoubleLeftRightArrow 21D4
DoubleLeftTee 2AE4
DoubleLongLeftArrow 27F8
DoubleLongLeftRightArrow 27FA
DoubleLongRightArrow 27F9
DoubleRightArrow 21D2
DoubleRightTee 22A8
DoubleUpArrow 21D1
DoubleUpDownArrow 21D5
DoubleVerticalBar 2225
downarrowUM darr
Downarrow 21D3
DownArrowUM darr
DownArrowBar 2913
DownArrowUpArrow 21F5
DownBreve 0311
downdownarrows 21CA
downharpoonleft 21C3
downharpoonright 21C2
DownLeftRightVector 2950
DownLeftTeeVector 295E
DownLeftVector 21BD
DownLeftVectorBar 2956
DownRightTeeVector 295F
DownRightVector 21C1
DownRightVectorBar 2957
DownTee 22A4
DownTeeArrow 21A7
drbkarow 2910
drcorn 231F
drcrop 230C
dscr 1D4B9
Dscr 1D49F
dscy 0455
DScy 0405
dsol 29F6
dstrok 0111
Dstrok 0110
dtdot 22F1
dtri 25BF
dtrif 25BE
duarr 21F5
duhar 296F
dwangle 29A6
dzcy 045F
DZcy 040F
dzigrarr 27FF
eacgr 03AD
Eacgr 0388
eacute 00E9
Eacute 00C9
easter 2A6E
ecaron 011B
Ecaron 011A
ecir 2256
ecirc 00EA
Ecirc 00CA
ecolon 2255
ecy 044D
Ecy 042D
eDDot 2A77
edot 0117
eDot 2251
Edot 0116
ee 2147
eeacgr 03AE
EEacgr 0389
eegr 03B7
EEgr 0397
efDot 2252
efr 1D522
Efr 1D508
eg 2A9A
egr 03B5
Egr 0395
egrave 00E8
Egrave 00C8
egs 2A96
egsdot 2A98
el 2A99
Element 2208
elinters 23E7
ell 2113
els 2A95
elsdot 2A97
emacr 0113
Emacr 0112
empty 2205
emptyset 2205
EmptySmallSquare 25FB
emptyv 2205
EmptyVerySmallSquare 25AB
emsp 2003
emsp13 2004
emsp14 2005
eng 014B
ENG 014A
ensp 2002
eogon 0119
Eogon 0118
eopf 1D556
Eopf 1D53C
epar 22D5
eparsl 29E3
eplus 2A71
epsi 03B5
epsilon 03B5
Epsilon 0395
epsiv 03F5
eqcirc 2256
eqcolon 2255
eqsim 2242
eqslantgtr 2A96
eqslantless 2A95
Equal 2A75
equals 003D
EqualTilde 2242
equest 225F
Equilibrium 21CC
equiv 2261
equivDD 2A78
eqvparsl 29E5
erarr 2971
erDot 2253
escr 212F
Escr 2130
esdot 2250
esim 2242
Esim 2A73
eta 03B7
Eta 0397
eth 00F0
ETH 00D0
euml 00EB
Euml 00CB
euro 20AC
excl 0021
exist 2203
Exists 2203
expectation 2130
exponentiale 2147
ExponentialE 2147
fallingdotseq 2252
fcy 0444
Fcy 0424
female 2640
ffilig FB03
fflig FB00
ffllig FB04
ffr 1D523
Ffr 1D509
filig FB01
FilledSmallSquare 25FC
FilledVerySmallSquare 25AA
fjlig 0066  006A
flat 266D
fllig FB02
fltns 25B1
fnof 0192
fopf 1D557
Fopf 1D53D
forall 2200
ForAll 2200
fork 22D4
forkv 2AD9
Fouriertrf 2131
fpartint 2A0D
frac12 00BD
frac13 2153
frac14 00BC
frac15 2155
frac16 2159
frac18 215B
frac23 2154
frac25 2156
frac34 00BE
frac35 2157
frac38 215C
frac45 2158
frac56 215A
frac58 215D
frac78 215E
frasl 2044
frown 2322
fscr 1D4BB
Fscr 2131
gacute 01F5
gamma 03B3
Gamma 0393
gammad 03DD
Gammad 03DC
gap 2A86
gbreve 011F
Gbreve 011E
Gcedil 0122
gcirc 011D
Gcirc 011C
gcy 0433
Gcy 0413
gdot 0121
Gdot 0120
ge 2265
gE 2267
gel 22DB
gEl 2A8C
geq 2265
geqq 2267
geqslant 2A7E
ges 2A7E
gescc 2AA9
gesdot 2A80
gesdoto 2A82
gesdotol 2A84
gesl 22DB  FE00
gesles 2A94
gfr 1D524
Gfr 1D50A
gg 226B
Gg 22D9
ggg 22D9
ggr 03B3
Ggr 0393
gimel 2137
gjcy 0453
GJcy 0403
gl 2277
gla 2AA5
glE 2A92
glj 2AA4
gnap 2A8A
gnapprox 2A8A
gne 2A88
gnE 2269
gneq 2A88
gneqq 2269
gnsim 22E7
gopf 1D558
Gopf 1D53E
grave 0060
GreaterEqual 2265
GreaterEqualLess 22DB
GreaterFullEqual 2267
GreaterGreater 2AA2
GreaterLess 2277
GreaterSlantEqual 2A7E
GreaterTilde 2273
gscr 210A
Gscr 1D4A2
gsim 2273
gsime 2A8E
gsiml 2A90
gt 003E
Gt 226B
GT 003E
gtcc 2AA7
gtcir 2A7A
gtdot 22D7
gtlPar 2995
gtquest 2A7C
gtrapprox 2A86
gtrarr 2978
gtrdot 22D7
gtreqless 22DB
gtreqqless 2A8C
gtrless 2277
gtrsim 2273
gvertneqq 2269  FE00
gvnE 2269  FE00
Hacek 02C7
hairsp 200A
half 00BD
hamilt 210B
hardcy 044A
HARDcy 042A
harr 2194
hArr 21D4
